Run#,Date Run,Description,Raw Data,Pipeline Output in S3 bucket rd-output,MiSeq Run,latest_run
CG001Qv40Next048,2019-09-04,CG001Qv40Run123 library repooled; Group of 1 Sonic Plasma and Buffy Coat matched; 18 Exactis plasma samples from 6 patients; Adapter Set A 20370912 lot-to-lot validation,190904_NB551381_0050_AHNVKVAFXY,190904_NB551381_0050_AHNVKVAFXY_version3,CG001Qv40Run123,190904_NB551381_0050_AHNVKVAFXY_version3
CG001Qv40Next049,2019-09-09,CG001Qv40Run124; 20 Exactis plasma samples from 7 patients; Adapter Set D 20373636 lot-to-lot validationCG001,190909_NB551381_0051_AHNTTTAFXY,190909_NB551381_0051_AHNTTTAFXY_version3,CG001Qv40Run124,190909_NB551381_0051_AHNTTTAFXY_version3
CG001Qv40Next050,2019-09-11,CG001Qv40Run125; FOLLOW IT validation run 1 (Note for 2019 validation only: Please do not analyze data from this run yet; wait for other validation runs); Exactis cfDNA samples,190911_NB551381_0052_AHNTNYAFXY,190911_NB551381_0052_AHNTNYAFXY,CG001Qv40Run125,190911_NB551381_0052_AHNTNYAFXY
CG001Qv40Next052,2019-09-24,CG001Qv40Run126; FOLLOW IT: Exactis cfDNA,190924_NB551381_0054_AHNTYCAFXY,190924_NB551381_0054_AHNTYCAFXY_version2,CG001Qv40Run126,190924_NB551381_0054_AHNTYCAFXY_version3
CG001Qv40Next053,2019-10-11,"CG001Qv40Run127; FOLLOW IT: 11 Exactis cfDNA, 1 Anna McGuire cfDNA, 6 Sonic (3 cfDNA, 3 buffy coat), 3 Gynebank cfDNA",191011_NB551381_0055_AHNTVVAFXY,191011_NB551381_0055_AHNTVVAFXY,CG001Qv40Run127,191011_NB551381_0055_AHNTVVAFXY
CG001Qv40Next055,2019-11-26,"CG001Qv40Run131; 1 CEAP plasma; 3 McGuire Post-op 3 month plasma; Group of 1 GyneBank FFPE, plasma, and Buffy Coat matched; 14 GyneBank plasma",191126_NB551381_0058_AHNTY7AFXY,191126_NB551381_0058_AHNTY7AFXY,CG001Qv40Run131,191126_NB551381_0058_AHNTY7AFXY
CG001Qv40Next056,2019-11-27,"CG001Qv40Run134; 1 CEAP plasma; Group of 2 McGuire samples with FFPE, plasma, and buffy coat matched; 6 FFPE with EGFR variants; Group of 2 GyneBank samples with FFPE, plasma, and buffy coat matched; Resequenced DNA-11754 and DNA-11436 for Madeline",191127_NB551381_0059_AHTGWCAFXY,191127_NB551381_0059_AHTGWCAFXY,CG001Qv40Run134,191127_NB551381_0059_AHTGWCAFXY
CG001Qv40Next057,2019-12-05,"CG001Qv40Run135; 1 CEAP plasma; 15 GyneBank samples - 4 patient sample sets (plasma, buffy coat, FFPE); 3 McGuire samples - 1 patient sample set (plasma, buffy coat, FFPE); 2 Sonic samples - 1 patient sample set (plasma, buffy coat)",191205_NB551381_0060_AHWVLJAFXY,191205_NB551381_0060_AHWVLJAFXY,CG001Qv40Run135,191205_NB551381_0060_AHWVLJAFXY
CG001Qv40Next058,2019-12-09,"CG001Qv40Run136; 12 McGuire samples - 4 patient sample sets (plasma, buffy coat, FFPE); 4 Sonic samples - 2 patient sample sets (2 plasma, 2 buffy coat); 3 CAP CFDNA-B series; 2 EGFR positive FFPE samples for digital PCR ",191209_NB551381_0061_AHWN2WAFXY,191209_NB551381_0061_AHWN2WAFXY,CG001Qv40Run136,191209_NB551381_0061_AHWN2WAFXY
CG001Qv40Next059,2019-12-11,"CG001Qv40Run137; Plasma LOD Run 1: Horizon cfDNA series DNA mass titration, Hge 20000 to 5000, 2/1/0.75/0.5/0.25/0.1 % VAFs",191211_NB551381_0062_AHY57GAFXY,191211_NB551381_0062_AHY57GAFXY,CG001Qv40Run137,191211_NB551381_0062_AHY57GAFXY
CG001Qv40Next061,2020-01-15,"Re-run of CG001Qv40Next054: CG001Qv40Run138; Plasma LOD Run 2: Horizon cfDNA series DNA mass titration, Hge 2500 to 312.5, 2/1/0.75/0.5/0.25/0.1 % VAFs",200115_NB551381_0064_AHY57NAFXY,200115_NB551381_0064_AHY57NAFXY,CG001Qv40Run138,200115_NB551381_0064_AHY57NAFXY
CG001Qv40Next060,2019-12-27,"CG001Qv40Run139; 1 CEAP plasma; 18 GyneBank samples - 6 patient sample sets (plasma, buffy coat, FFPE); 2 Sonic samples - 1 patient sample set (plasma, buffy coat)",191227_NB551381_0063_AHWMWNAFXY,191227_NB551381_0063_AHWMWNAFXY,CG001Qv40Run139,191227_NB551381_0063_AHWMWNAFXY
CG001Qv40Next062,2020-01-21,"CG001Qv40Run142; Plasma LOD Run 4: Seraseq cfDNA series DNA mass titration, HGE 2500 to 312.5, 2 / 1 / 0.75 / 0.5 / 0.25 / 0.1 % VAFs",200121_NB551381_0065_AHWN5JAFXY,200121_NB551381_0065_AHWN5JAFXY,CG001Qv40Run142,200121_NB551381_0065_AHWN5JAFXY
CG001Qv40Next063,2020-01-28,CG001Qv40Run143; 3 CEAP plasma; Group of 1 Sonic plasma/BC matched; Group of 5 GyneBank FFPE/plasma/BC matched; DNA-13079 resequenced for Madeline,200128_NB551381_0066_AHWT2FAFXY,200128_NB551381_0066_AHWT2FAFXY,CG001Qv40Run143,200128_NB551381_0066_AHWT2FAFXY
CG001Qv40Next064,2020-01-30,"CG001Qv40Run144; 8 CEAP plasma (2 novel, 6 repeats for testing extraction elution volume); 4 Sonic samples - 2 patient sample set (plasma, BC); 6 GyneBank samples - 2 patient sample sets (plasma, BC, FFPE); 3 CAP MTP-B proficiency samples",200130_NB551381_0067_AHY57FAFXY,200130_NB551381_0067_AHY57FAFXY,CG001Qv40Run144,200130_NB551381_0067_AHY57FAFXY_version2
CG001Qv40Next065,2020-02-10,"CG001Qv40Run146; 2 CEAP plasma; 3 McGuire samples - 1 patient sample set (plasma, BC, FFPE); 12 GyneBank samples - 4 patient sample sets (plasma, BC, FFPE); 4 Sonic samples - 2 patient sample sets (plasma, BC)",200210_NB551381_0068_AHWT7GAFXY,200210_NB551381_0068_AHWT7GAFXY,CG001Qv40Run146,200210_NB551381_0068_AHWT7GAFXY
CG001Qv40Next066,2020-02-18,"CG001Qv40Run149; Repeat of Plasma LOD Run 3: Seraseq cfDNA series DNA mass titration, HGE 20000 (66 ng) to 5000 (16.5 ng), 2 / 1 / 0.75 / 0.5 / 0.25 / 0.125 % VAFs; 0.75% generated from 2% plus WT",200218_NB551381_0069_AHWT7TAFXY,200218_NB551381_0069_AHWT7TAFXY_version2,CG001Qv40Run149,200218_NB551381_0069_AHWT7TAFXY_version2
CG001Qv40Next021,2018-10-02,Rerun of Miseq CG001Qv40Run15 DNA mixtures,181001_NB551381_0023_AHCMG5AFXY,181001_NB551381_0023_AHCMG5AFXY_version2,CG001Qv40Run15,181001_NB551381_0023_AHCMG5AFXY_version2
CG001Qv40Next067,2020-03-09,CG001Qv40Run150; 3 CEAP plasma and 2 CEAP buffy coats; 2 sets of Sonic plasma/BC matched; 2 sets of McGuire FFPE/plasma/BC matched; 2 sets of GyneBank FFPE/plasma/BC matched,200309_NB551381_0070_AHWT5VAFXY,200309_NB551381_0070_AHWT5VAFXY,CG001Qv40Run150,200309_NB551381_0070_AHWT5VAFXY
CG001Qv40Next068,2020-04-29,CG001Qv40Run151; 3 CEAP plasma; Group of 6 GyneBank FFPE/plasma/BC matched,200429_NB551381_0073_AH5M5GAFX2,200429_NB551381_0073_AH5M5GAFX2,CG001Qv40Run151,200429_NB551381_0073_AH5M5GAFX2
CG001Qv40Next069,2020-05-01,CG001Qv40Run155; 3 CEAP plasma; 3 McGuire 3-month post op and 3 sets of McGuire FFPE/plasma/BC matched; 2 sets of Sonic plasma/BC matched; 1 Sheffield FFPE; 1 clinical FFPE from Mexico,200501_NB551381_0074_AH5LFGAFX2,200501_NB551381_0074_AH5LFGAFX2,CG001Qv40Run155,200501_NB551381_0074_AH5LFGAFX2
CG001Qv40Next070,2020-05-20,"CG001Qv40Run156; 2 CEAP plasma; 1 McGuire 3-month post-op, 3 sets of Sonic plasma/BC matched and 4 sets of Gynebank FFPE/plasma/BC matched",200520_NB551381_0075_AH5LYWAFX2,200520_NB551381_0075_AH5LYWAFX2_version3,CG001Qv40Run156,200520_NB551381_0075_AH5LYWAFX2_version2
CG001Qv40Next071,2020-06-11,CG001Qv40Run160; 1 CEAP plasma; Group of 6 GyneBank FFPE/plasma/BC matched; Lot to lot validation of Qiagen Multiplex lot 163034980,200611_NB551381_0076_AH5LK2AFX2,200611_NB551381_0076_AH5LK2AFX2,CG001Qv40Run160,200611_NB551381_0076_AH5LK2AFX2
CG001Qv40Next074,2020-07-03,"CG001Qv40Run161; 2 CEAP plasma samples (one redo), 6 sets of Gynebank matched plasma, FFPE, BC",200703_NB551381_0079_AH5LJYAFX2,200703_NB551381_0079_AH5LJYAFX2_version2,CG001Qv40Run161,200703_NB551381_0079_AH5LJYAFX2
CG001Qv40Next076,2020-09-03,CG001Qv40Run167; 2 CEAP plasma samples; 1 set of Sonic plasma/BC matched; 2 McGuire plasmas; 5 sets of GyneBank FFPE/plasma/BC matched,200903_NB551381_0082_AHFW2NAFX2,200903_NB551381_0082_AHFW2NAFX2_version2,CG001Qv40Run167,200903_NB551381_0082_AHFW2NAFX2
CG001Qv40Next075,2020-07-07,CG001Qv40Run180; 1 CEAP plasma; 1 CEAP/EORLA plasma (redo); Group of 6 Gynebank plasma/FFPE/BC matched; kappa lot to lot validation,200707_NB551381_0080_AH5H3HAFX2,200707_NB551381_0080_AH5H3HAFX2_version2,CG001Qv40Run180,200707_NB551381_0080_AH5H3HAFX2
CG001Qv40Next078,2020-09-21,Re-run of CG001Qv40NExt077; CG001Qv40Run183; 1 CEAP plasma sample; 1 group of AM plasma/FFPE/BC matched; 1 group of GyneBank plasma/FFPE/BC matched; 1 normal human plasma from PlasmaLab; 5 groups of Sonic plasma/BC matched and 3 AM plasmas for resequencing (oringially sequenced in CG001Qv40Run179) ,200921_NB551381_0084_AHFWC5AFX2,200921_NB551381_0084_AHFWC5AFX2,CG001Qv40Run183,200921_NB551381_0084_AHFWC5AFX2
CG001Qv40Next079,2020-09-24,"CG001Qv40Run185; 1 CEAP Sample; 6 sets of Gynebank-cfDNA,FFPE DNA,gDNA(buffycoat),2 normal cfDNA samples from normal plasma",200924_NB551381_0085_AHFWTVAFX2,200924_NB551381_0085_AHFWTVAFX2,CG001Qv40Run185,200924_NB551381_0085_AHFWTVAFX2
CG001Qv40Next072,2020-06-23,CG001Qv40Run189; Testing UDIs; PCR products from CG001Qv40Run174,200623_NB551381_0077_AH5LGNAFX2,200623_NB551381_0077_AH5LGNAFX2,CG001Qv40Run189,200623_NB551381_0077_AH5LGNAFX2
CG001Qv40Next022,2018-11-02,Rerun of Miseq CG001Qv40Run19,181010_NB551381_0024_AHCLM7AFXY,181010_NB551381_0024_AHCLM7AFXY_version2,CG001Qv40Run19,181010_NB551381_0024_AHCLM7AFXY_version2
CG001Qv40Next073,2020-06-25,CG001Qv40Run190; Testing UDIs; PCR products from CG001Qv40Run180,200625_NB551381_0078_AH5LJLAFX2,200625_NB551381_0078_AH5LJLAFX2,CG001Qv40Run190,200625_NB551381_0078_AH5LJLAFX2
CG001Qv40Next081,2020-10-19,"Re-run of CG001Qv40Next080; QC CG001Qv40Run194 (Re-do of CG001Qv40Run193); 2 CEAP plasma; 1 Kapa lot-to-lot validation (lot no 000105448), 1 NF lot- to-lot validation(D2_143527); 12 CEAP plasma with 2x resin protocol; 1 Normal plasma with std extraction protocol; 1 Normal plasma with 2X resin protocol",201020_NB551381_0092_AHFWCCAFX2,201020_NB551381_0092_AHFWCCAFX2,CG001Qv40Run194,
CG001Qv40Next023,2018-10-15,Rerun of Miseq CG001QV40Run21,181015_NB551381_0025_AHCN77AFXY,181015_NB551381_0025_AHCN77AFXY_version2,CG001Qv40Run21,181015_NB551381_0025_AHCN77AFXY_version2
CG001Qv40Next024,2018-10-18,Rerun of Miseq CG001Qv40Run22,181018_NB551381_0026_AH5JYWAFXY,181018_NB551381_0026_AH5JYWAFXY_version2,CG001Qv40Run22,181018_NB551381_0026_AH5JYWAFXY_version2
CG001Qv40Next025,2018-12-05,Rerun of Miseq CG001Qv40Run47,181205_NB551381_0027_AH5L35AFXY,181205_NB551381_0027_AH5L35AFXY_version2,CG001Qv40Run47,181205_NB551381_0027_AH5L35AFXY_version2
CG001Qv40Next026,2019-02-12,"CG001Qv40Run66, Group of 10 JMctDNA samples with pre-op and post-op plasma matched (Batch 1); Seraseq Lung & Brain CNV Mix +12 copies",190212_NB551381_0028_AH5KYTAFXY,190212_NB551381_0028_AH5KYTAFXY_version2,CG001Qv40Run66,190212_NB551381_0028_AH5KYTAFXY_version2
CG001Qv40Next027,2019-02-14,"CG001Qv40Run67, 21 Exactis plasma samples",190214_NB551381_0029_AH5K53AFXY,190214_NB551381_0029_AH5K53AFXY_version2,CG001Qv40Run67,190214_NB551381_0029_AH5K53AFXY_version2
CG001Qv40Next028,2019-02-20,"CG001Qv40Run 68, 9 Exactis plasma and 12 Manitoba plasma samples",190220_NB551381_0030_AH5KWHAFXY,190220_NB551381_0030_AH5KWHAFXY_version2,CG001Qv40Run68,190220_NB551381_0030_AH5KWHAFXY_version2
CG001Qv40Next029,2019-03-07,"CG001Qv40Run71, Group of 10 JMctDNA samples with pre-op and post-op plasma matched (Batch 2); 1 Manitoba plasma sample run on e-gel demo instrument ",190307_NB551381_0031_AHHLWMAFXY,190307_NB551381_0031_AHHLWMAFXY_version2,CG001Qv40Run71,190307_NB551381_0031_AHHLWMAFXY_version2
CG001Qv40Next030,2019-03-21,"CG001Qv40Run73, Group of 10 JMctDNA samples with pre-op and post-op plasma matched (Batch 3); repooled library of CG001Qv40Run73",190321_NB551381_0032_AHHLGWAFXY,190321_NB551381_0032_AHHLGWAFXY_version2,CG001Qv40Run73,190321_NB551381_0032_AHHLGWAFXY_version2
CG001Qv40Next032,2019-04-09,"CG001Qv40Run81, Group of 10 JMctDNA samples with pre-op and post-op plasma matched (Batch 4)",190409_NB551381_0034_AHHM77AFXY,190409_NB551381_0034_AHHM77AFXY_version2,CG001Qv40Run81,190409_NB551381_0034_AHHM77AFXY_version2
CG001Qv40Next033,2019-04-12,"CG001Qv40Run83, Group of 3 JMctDNA samples with pre-op and post-op plasma matched (Batch 5), 14 follow up post-op plasma matched with previous batches (Batch 6), rerun DNA-13203 that was failed in Run73",190412_NB551381_0035_AHHLJCAFXY,190412_NB551381_0035_AHHLJCAFXY_version2,CG001Qv40Run83,190412_NB551381_0035_AHHLJCAFXY_version2
CG001Qv40Next034,2019-04-18,"CG001Qv40Run86, 13 JMctDNA post-op plasma samples (Batch 6), 6 Manitoba plasma samples, QMRS twofold dilution to TruQ0, Seraseq 1%AF",190418_NB551381_0036_AHKM3LAFXY,190418_NB551381_0036_AHKM3LAFXY_version2,CG001Qv40Run86,190418_NB551381_0036_AHKM3LAFXY_version2
CG001Qv40Next036,2019-05-13,"CG001Qv40Run92; Group of 10 GyneBank samples with FFPE and buffy coat matched, Kapa Hifi lot-to-lot validation",190513_NB551381_0038_AHKYGGAFXY,190513_NB551381_0038_AHKYGGAFXY_version2,CG001Qv40Run92,190513_NB551381_0038_AHKYGGAFXY_version2
CG001Qv40Next035,2019-05-09,CG001Qv40Run93; Group of 10 GyneBank samples with FFPE and buffy coat matched and 1 high concentrated GyneBank FFPE DNA; PCR 28 cycles and 0.9x bead individual LibCon cleanup,190509_NB551381_0037_AHKWJWAFXY,190509_NB551381_0037_AHKWJWAFXY_version2,CG001Qv40Run93,190509_NB551381_0037_AHKWJWAFXY_version2
CG001Qv40Next037,2019-05-30,"CG001Qv40Run97; 3 CAP CFDNA samples, 16 JMctDNA post-op plasma samples (Batch 7 and 8), QMRS and Qiagen Multiplex lot-to-lot validation",190530_NB551381_0039_AHKVJTAFXY,190530_NB551381_0039_AHKVJTAFXY_version2,CG001Qv40Run97,190530_NB551381_0039_AHKVJTAFXY_version2
CG001Qv40Next038,2019-06-13,CG001Qv40Run99; Group of 2 CEAP Plasma and Buffy coat matched from 1 patient (extracted with Qiagen and Maxwell methods for comparison); 17 JMctDNA post-op plasma samples (Batch 8),190613_NB551381_0040_AHKW33AFXY,190613_NB551381_0040_AHKW33AFXY_version3,CG001Qv40Run99,190613_NB551381_0040_AHKW33AFXY_version3
